Tello: 17:38:22.696:  Info: start video thread
Tello: 17:38:22.696:  Info: video receive buffer size = 425984
Tello: 17:38:22.696:  Info: send connection request (cmd="conn_req:9617")
Tello: 17:38:22.696:  Info: state transit State::disconnected -> State::connecting
Tello: 17:38:22.743:  Info: connected. (port=9617)
Tello: 17:38:22.743:  Info: send_time (cmd=0x46 seq=0x01e4)
Tello: 17:38:22.743:  Info: state transit State::connecting -> State::connected
Tello: 17:38:22.743:  Info: get video stream
Tello: 17:38:22.743:  Info: start video (cmd=0x25 seq=0x01e4)
Tello: 17:38:22.793:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:38:22.793:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:38:22.795:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:38:22.795:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
Tello: 17:38:37.760:  Info: video data 755108 bytes 368.1KB/sec
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
Tello: 17:38:39.785:  Info: video data 759350 bytes 366.1KB/sec
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 11 | SPD:  0 | BAT: 64 | WIFI: 90 | CAM:  0 | MODE:  6
